PlotNumber,Variation/Phase
01OK008,ESSFdc 1 /101
01OK073,ESSFdc 1 /101
02OK045,ESSFdc 1 /101
02OK048,ESSFdc 1 /101
02OK072,ESSFdc 1 /101
02OK126,ESSFdc 1 /101
02OKW24,ESSFdc 1 /101
08-2364,ESSFdc 1 /101
08-2365,ESSFdc 1 /101
08-2385,ESSFdc 1 /101
08-5079,ESSFdc 1 /101
08-5163,ESSFdc 1 /101
08-7896,ESSFdc 1 /101
1086-1,ESSFdc 1 /101
11-4082,ESSFdc 1 /101
11-5049,ESSFdc 1 /101
11-5059,ESSFdc 1 /101
504-3,ESSFdc 1 /101
ARS-36,ESSFdc 1 /101
K011166,ESSFdc 1 /101
K02-213,ESSFdc 1 /101
K02-567,ESSFdc 1 /101
S770133,ESSFdc 1 /101
SN128-1,ESSFdc 1 /101
Y770060,ESSFdc 1 /101
Y770066,ESSFdc 1 /101
Y770068,ESSFdc 1 /101
02OK049,ESSFdc 1 /102
02OK105,ESSFdc 1 /102
02OK110,ESSFdc 1 /102
ARS-207,ESSFdc 1 /102
ARS-236,ESSFdc 1 /102
N075100,ESSFdc 1 /102
02OK106,ESSFdc 1 /103
ARS-212,ESSFdc 1 /103
ARS-39,ESSFdc 1 /103
K011165,ESSFdc 1 /103
S770110,ESSFdc 1 /103
S770132,ESSFdc 1 /103
Y770064,ESSFdc 1 /103
02OK013,ESSFdc 1 /104
02OK014,ESSFdc 1 /104
02OK036,ESSFdc 1 /104
02OK042,ESSFdc 1 /104
02OK046,ESSFdc 1 /104
02OKW18,ESSFdc 1 /104
08-5185,ESSFdc 1 /104
08-7897,ESSFdc 1 /104
08-8366,ESSFdc 1 /104
11-5042,ESSFdc 1 /104
K011162,ESSFdc 1 /104
K011387,ESSFdc 1 /104
K011388,ESSFdc 1 /104
S770127,ESSFdc 1 /104
Y770063,ESSFdc 1 /104
08-5159,ESSFdc 1 /110
08-5190,ESSFdc 1 /110
11-4081,ESSFdc 1 /110
11-5048,ESSFdc 1 /110
11-5057,ESSFdc 1 /110
504-2,ESSFdc 1 /110
S770112,ESSFdc 1 /110
Y770062,ESSFdc 1 /110
Y770065,ESSFdc 1 /110
Y770071,ESSFdc 1 /110
02OK015,ESSFdc 1 /111
02OK033,ESSFdc 1 /111
02OK037,ESSFdc 1 /111
02OK040,ESSFdc 1 /111
